null,Sourced,Placed,References,Value,Footprint,Quantity
1,✓,✓,"C3, C6",22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2
2,✓,✓,"C4, C5",100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2
3,,,C1,10uF,Capacitor_Radial_D5.0mm_P2.5mm,1
4,,,C2,10nF,Capacitor_Rect_L7.2mm_W2.5mm_P5.00mm,1
5,✓,✓,"R2, R3, R4",100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,3
6,✓,✓,"R7, R8",1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2
7,✓,✓,R1,470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1
8,✓,✓,R5,4.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1
9,✓,✓,R6,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1
10,,,D1,LED_Dual_Bidirectional,LED_D3.0mm,1
11,✓,✓,U1,TL074,SOIC-14_3.9x8.7mm_P1.27mm,1
12,,,"RANGE1, TIME1",B100k,Potentiometer_RV09,2
13,,,RANGE_SW1,SW_SPDT,ToggleSwitch_MTS-102_SPDT,1
14,,,TRI_OUT1,AudioJack2_SwitchT,AudioJack_3.5mm,1
15,,,J1,IDC_2x05,IDC-Header_2x05_P2.54mm_Vertical,1
